код_сотрудник,код_курс,должность,отдел,пол,возраст,опыт_работы,оценка_итог,статус
студент_89,курс_1,Логист,Отдел закупок,муж,50,26,76.18573797678275,прошел курс
студент_90,курс_1,Специалист по обучению,Отдел кадров,муж,52,27,,не закончил
студент_91,курс_1,Мастер,Отдел производства,муж,57,28,74.47927031509121,прошел курс
студент_92,курс_1,Менеджер по продажам,Отдел продаж,муж,39,6,74.35986733001658,прошел курс
студент_93,курс_1,Программист,Отдел IT,жен,37,15,,не закончил
студент_94,курс_1,Техник,Отдел производства,муж,33,20,74.87728026533996,прошел курс
студент_95,курс_1,Системный администратор,Отдел IT,жен,23,28,75.85903814262024,прошел курс
студент_96,курс_1,Контролер,Отдел качества,жен,51,25,,не закончил
студент_97,курс_1,Инженер,Отдел производства,муж,28,27,75.93200663349917,прошел курс
студент_98,курс_1,Специалист по рекламе,Отдел продаж,жен,30,26,75.27031509121062,прошел курс
студент_99,курс_1,Рекрутер,Отдел кадров,муж,60,20,74.19568822553897,прошел курс
студент_100,курс_1,Инженер по безопасности,Отдел IT,жен,23,21,74.9436152570481,прошел курс
студент_101,курс_1,Аналитик,Отдел закупок,жен,45,30,75.02321724709785,прошел курс
студент_102,курс_1,Менеджер по продажам,Отдел продаж,жен,51,16,75.62520729684908,прошел курс
студент_103,курс_1,Аналитик продаж,Отдел продаж,муж,46,14,76.20398009950249,прошел курс
студент_104,курс_1,Консультант,Отдел продаж,муж,37,18,,не закончил
студент_105,курс_1,Логист,Отдел закупок,муж,45,15,75.3167495854063,прошел курс
студент_106,курс_1,Начальник смены,Отдел производства,муж,53,27,76.55389718076285,прошел курс
студент_107,курс_1,Инженер,Отдел производства,муж,33,26,75.22553897180762,прошел курс
студент_108,курс_1,Начальник отдела,Отдел IT,муж,33,26,73.65671641791045,прошел курс
студент_109,курс_1,Специалист по закупкам,Отдел закупок,муж,45,20,74.24046434494196,прошел курс
студент_110,курс_1,Инспектор по кадрам,Отдел кадров,муж,34,8,74.70315091210614,прошел курс
студент_111,курс_1,Менеджер по качеству,Отдел качества,жен,52,24,74.48756218905473,прошел курс
студент_112,курс_1,Кладовщик,Отдел закупок,жен,27,7,75.56218905472637,прошел курс
студент_113,курс_1,HR-менеджер,Отдел кадров,муж,33,6,74.13764510779436,прошел курс
студент_114,курс_1,Начальник отдела,Отдел IT,муж,21,5,74.46932006633499,прошел курс
студент_115,курс_1,Менеджер по качеству,Отдел качества,муж,20,29,74.55223880597015,прошел курс
студент_116,курс_1,Рабочий,Отдел производства,муж,41,17,75.09121061359868,прошел курс
студент_117,курс_1,Инспектор,Отдел качества,жен,35,2,75.84908789386401,прошел курс
студент_118,курс_1,Рекрутер,Отдел кадров,муж,48,17,74.9436152570481,прошел курс
студент_119,курс_1,Мастер,Отдел производства,жен,55,10,73.93200663349917,прошел курс
студент_120,курс_1,Аналитик продаж,Отдел продаж,жен,51,24,74.51243781094527,прошел курс
студент_121,курс_1,Специалист по обучению,Отдел кадров,жен,25,3,75.65837479270316,прошел курс
студент_122,курс_1,Программист,Отдел IT,муж,42,21,74.44112769485903,прошел курс
студент_123,курс_1,Инспектор по кадрам,Отдел кадров,муж,30,12,75.50082918739635,прошел курс
студент_124,курс_1,Аналитик,Отдел закупок,муж,41,16,74.82918739635157,прошел курс
студент_125,курс_1,Системный администратор,Отдел IT,жен,27,19,74.66666666666667,прошел курс
студент_126,курс_1,Мастер,Отдел производства,муж,57,23,74.64344941956882,прошел курс
студент_127,курс_1,Начальник отдела,Отдел качества,муж,30,1,,не закончил
студент_128,курс_1,Начальник отдела,Отдел кадров,жен,45,28,75.38308457711443,прошел курс
студент_129,курс_1,Начальник отдела,Отдел IT,муж,51,28,75.95688225538971,прошел курс
студент_130,курс_1,Контролер,Отдел качества,муж,45,2,,не закончил
студент_131,курс_1,Аналитик,Отдел закупок,муж,30,25,,не закончил
студент_132,курс_1,Начальник отдела,Отдел качества,муж,46,27,73.8424543946932,прошел курс
студент_133,курс_1,Начальник отдела,Отдел IT,жен,37,23,75.6318407960199,прошел курс
студент_134,курс_1,Инженер по безопасности,Отдел IT,жен,44,2,74.46932006633499,прошел курс
студент_135,курс_1,Инженер,Отдел производства,жен,22,9,74.81757877280265,прошел курс
студент_136,курс_1,Инспектор,Отдел качества,муж,21,5,75.04477611940298,прошел курс
студент_137,курс_1,Техник по качеству,Отдел качества,муж,54,17,75.72802653399668,прошел курс
студент_138,курс_1,Инженер,Отдел производства,муж,28,14,,не закончил
студент_139,курс_1,Начальник смены,Отдел производства,муж,54,16,74.67330016583747,прошел курс
студент_140,курс_1,Кладовщик,Отдел закупок,жен,36,19,75.86235489220564,прошел курс
студент_141,курс_1,Программист,Отдел IT,жен,46,25,75.24378109452736,прошел курс
студент_142,курс_1,Логист,Отдел закупок,муж,46,18,75.7910447761194,прошел курс
студент_143,курс_1,Логист,Отдел закупок,жен,59,19,75.51409618573798,прошел курс
студент_144,курс_1,Инженер,Отдел производства,жен,45,17,76.11111111111111,прошел курс
студент_145,курс_1,Торговый представитель,Отдел продаж,жен,43,7,,не закончил
студент_146,курс_1,Начальник отдела,Отдел качества,муж,56,26,75.72139303482587,прошел курс
студент_147,курс_1,Рабочий,Отдел производства,жен,48,30,75.29353233830845,прошел курс
студент_148,курс_1,Начальник отдела,Отдел IT,жен,44,20,74.17578772802653,прошел курс
студент_149,курс_1,Специалист по закупкам,Отдел закупок,муж,33,20,75.57379767827528,прошел курс
студент_150,курс_1,Инспектор по кадрам,Отдел кадров,жен,28,25,74.80928689883913,прошел курс
студент_151,курс_1,Техник по качеству,Отдел качества,жен,39,17,73.22222222222223,прошел курс
студент_152,курс_1,Специалист по закупкам,Отдел закупок,муж,26,11,74.33167495854063,прошел курс
студент_153,курс_1,Техник по качеству,Отдел качества,жен,29,17,75.15257048092869,прошел курс
студент_154,курс_1,Инспектор по кадрам,Отдел кадров,муж,30,22,76.212271973466,прошел курс
студент_155,курс_1,Специалист по рекламе,Отдел продаж,муж,25,8,75.09286898839137,прошел курс
студент_156,курс_1,Менеджер по снабжению,Отдел закупок,жен,39,23,75.1077943615257,прошел курс
студент_157,курс_1,Мастер,Отдел производства,жен,20,10,74.98175787728026,прошел курс
студент_158,курс_1,Менеджер по снабжению,Отдел закупок,жен,39,14,75.07296849087894,прошел курс
студент_159,курс_1,Торговый представитель,Отдел продаж,жен,26,22,76.18407960199005,прошел курс
студент_160,курс_1,Инспектор,Отдел качества,жен,28,9,74.51907131011609,прошел курс
студент_161,курс_1,Логист,Отдел закупок,муж,39,1,74.90381426202322,прошел курс
студент_162,курс_1,Рабочий,Отдел производства,жен,22,1,74.85572139303483,прошел курс
студент_163,курс_1,Контролер,Отдел качества,жен,60,29,76.14262023217248,прошел курс
студент_164,курс_1,Инженер,Отдел производства,жен,35,23,75.5804311774461,прошел курс
студент_165,курс_1,Мастер,Отдел производства,муж,29,8,,не закончил
студент_166,курс_1,Консультант,Отдел продаж,жен,60,24,75.26699834162521,прошел курс
студент_167,курс_1,Системный администратор,Отдел IT,жен,25,18,76.6334991708126,прошел курс
студент_168,курс_1,Рабочий,Отдел производства,муж,50,7,74.38971807628523,прошел курс
студент_169,курс_1,Инженер,Отдел производства,жен,49,1,74.61691542288557,прошел курс
студент_170,курс_1,Техник поддержки,Отдел IT,жен,20,13,,не закончил
студент_171,курс_1,Рабочий,Отдел производства,жен,38,13,75.00663349917082,прошел курс
студент_172,курс_1,Начальник смены,Отдел производства,муж,45,16,74.85737976782752,прошел курс
студент_173,курс_1,Торговый представитель,Отдел продаж,жен,31,29,75.00663349917082,прошел курс
студент_174,курс_1,Начальник отдела,Отдел IT,жен,28,16,75.10116086235489,прошел курс
студент_175,курс_1,Техник,Отдел производства,жен,29,24,74.86069651741293,прошел курс
студент_176,курс_1,Торговый представитель,Отдел продаж,жен,33,10,74.71641791044776,прошел курс
студент_177,курс_1,Торговый представитель,Отдел продаж,жен,37,21,74.40464344941957,прошел курс
студент_178,курс_1,Начальник отдела,Отдел IT,жен,25,10,73.56716417910448,прошел курс
студент_179,курс_1,Начальник смены,Отдел производства,жен,46,9,75.08955223880596,прошел курс
студент_180,курс_1,Инспектор,Отдел качества,жен,40,5,74.424543946932,прошел курс
студент_181,курс_1,Рекрутер,Отдел кадров,муж,30,13,73.40298507462687,прошел курс
студент_182,курс_1,Инженер,Отдел производства,жен,42,10,74.5240464344942,прошел курс
студент_183,курс_1,Инспектор по кадрам,Отдел кадров,жен,37,24,74.61691542288557,прошел курс
студент_184,курс_1,Техник поддержки,Отдел IT,жен,25,2,75.19402985074628,прошел курс
студент_185,курс_1,Начальник отдела,Отдел кадров,жен,21,4,74.93698175787728,прошел курс
студент_186,курс_1,Системный администратор,Отдел IT,жен,36,5,74.20066334991708,прошел курс
студент_187,курс_1,Техник,Отдел производства,муж,52,9,74.53067993366501,прошел курс
студент_188,курс_1,Аналитик,Отдел закупок,жен,46,12,74.86235489220564,прошел курс
студент_189,курс_1,Аналитик,Отдел закупок,жен,31,12,75.02155887230514,прошел курс
студент_190,курс_1,Специалист по закупкам,Отдел закупок,жен,56,19,75.01160862354892,прошел курс
студент_191,курс_1,Начальник отдела,Отдел качества,муж,60,26,75.13101160862355,прошел курс
студент_192,курс_1,Начальник смены,Отдел производства,жен,37,29,,не закончил
студент_193,курс_1,Контролер,Отдел качества,жен,44,16,74.99004975124379,прошел курс
студент_194,курс_1,Начальник отдела,Отдел кадров,жен,60,7,74.58872305140962,прошел курс
студент_195,курс_1,Менеджер по продажам,Отдел продаж,муж,38,7,74.1592039800995,прошел курс
студент_196,курс_1,Аналитик,Отдел закупок,муж,38,7,75.35323383084577,прошел курс
студент_197,курс_1,Начальник смены,Отдел производства,муж,45,14,73.48258706467662,прошел курс
студент_198,курс_1,Аналитик продаж,Отдел продаж,жен,37,21,74.92205638474296,прошел курс
студент_199,курс_1,Менеджер по продажам,Отдел продаж,муж,33,7,76.7893864013267,прошел курс
студент_200,курс_1,Кладовщик,Отдел закупок,жен,59,28,76.45439469320067,прошел курс
студент_1,курс_2,Торговый представитель,Отдел продаж,муж,46,29,75.94195688225538,прошел курс
студент_2,курс_2,Рабочий,Отдел производства,жен,31,8,74.75787728026533,прошел курс
студент_3,курс_2,Начальник отдела,Отдел IT,муж,52,2,75.04975124378109,прошел курс
студент_4,курс_2,Начальник смены,Отдел производства,муж,54,18,75.11111111111111,прошел курс
студент_5,курс_2,Консультант,Отдел продаж,муж,47,21,75.8625,прошел курс
студент_6,курс_2,Консультант,Отдел продаж,жен,40,18,,не закончил
студент_7,курс_2,HR-менеджер,Отдел кадров,жен,53,24,74.59535655058043,прошел курс
студент_8,курс_2,Начальник отдела,Отдел кадров,жен,35,20,75.11,прошел курс
студент_9,курс_2,Мастер,Отдел производства,муж,40,16,75.3101160862355,прошел курс
студент_10,курс_2,Начальник отдела,Отдел качества,муж,30,2,74.09950248756219,прошел курс
студент_11,курс_2,Специалист по закупкам,Отдел закупок,жен,50,2,74.96683250414594,прошел курс
студент_12,курс_2,Рабочий,Отдел производства,муж,27,17,75.60364842454395,прошел курс
студент_13,курс_2,Менеджер по снабжению,Отдел закупок,жен,58,10,75.65505804311775,прошел курс
студент_14,курс_2,Техник,Отдел производства,жен,58,28,75.95688225538971,прошел курс
студент_15,курс_2,Менеджер по снабжению,Отдел закупок,жен,41,19,75.06965174129353,прошел курс
студент_16,курс_2,Рабочий,Отдел производства,муж,46,7,75.46268656716418,прошел курс
студент_17,курс_2,Техник поддержки,Отдел IT,муж,23,9,74.7927031509121,прошел курс
студент_18,курс_2,Техник поддержки,Отдел IT,муж,28,2,,не закончил
студент_19,курс_2,Кладовщик,Отдел закупок,муж,22,18,75.44941956882255,прошел курс
студент_20,курс_2,Контролер,Отдел качества,муж,38,4,75.50580431177445,прошел курс
студент_21,курс_2,Менеджер по качеству,Отдел качества,жен,21,16,75.1077943615257,прошел курс
студент_22,курс_2,Менеджер по качеству,Отдел качества,жен,55,6,75.56384742951907,прошел курс
студент_23,курс_2,Начальник отдела,Отдел качества,муж,40,10,75.2072968490879,прошел курс
студент_24,курс_2,Логист,Отдел закупок,жен,26,27,75.7363184079602,прошел курс
студент_25,курс_2,Аналитик продаж,Отдел продаж,муж,20,19,74.56218905472637,прошел курс
студент_26,курс_2,Специалист по обучению,Отдел кадров,жен,25,18,75.19237147595356,прошел курс
студент_27,курс_2,Системный администратор,Отдел IT,жен,22,19,,не закончил
студент_28,курс_2,Менеджер по снабжению,Отдел закупок,муж,28,6,,не закончил
студент_29,курс_2,Аналитик продаж,Отдел продаж,жен,60,26,75.11940298507463,прошел курс
студент_30,курс_2,Мастер,Отдел производства,жен,40,27,75.14427860696517,прошел курс
студент_31,курс_2,Инспектор,Отдел качества,жен,55,30,,не закончил
студент_32,курс_2,Начальник смены,Отдел производства,муж,35,26,75.0,прошел курс
студент_33,курс_2,Логист,Отдел закупок,жен,20,11,73.30182421227197,прошел курс
студент_34,курс_2,Специалист по рекламе,Отдел продаж,жен,57,18,74.90878938640132,прошел курс
студент_35,курс_2,Контролер,Отдел качества,жен,33,27,74.23383084577114,прошел курс
студент_36,курс_2,Начальник отдела,Отдел качества,муж,53,9,74.64842454394693,прошел курс
студент_37,курс_2,Менеджер по качеству,Отдел качества,муж,31,21,75.0016583747927,прошел курс
студент_38,курс_2,Техник по качеству,Отдел качества,жен,32,30,75.14427860696517,прошел курс
студент_39,курс_2,Кладовщик,Отдел закупок,жен,44,18,75.8275,прошел курс
студент_40,курс_2,Начальник отдела,Отдел кадров,жен,50,16,76.29187396351576,прошел курс
студент_41,курс_2,Системный администратор,Отдел IT,муж,24,26,74.6882255389718,прошел курс
студент_42,курс_2,Менеджер по снабжению,Отдел закупок,муж,40,27,75.3665008291874,прошел курс
студент_43,курс_2,Специалист по рекламе,Отдел продаж,жен,48,14,74.15833333333333,прошел курс
студент_44,курс_2,Кладовщик,Отдел закупок,жен,57,3,,не закончил
студент_45,курс_2,Менеджер по продажам,Отдел продаж,муж,24,1,75.88557213930348,прошел курс
студент_46,курс_2,Менеджер по продажам,Отдел продаж,жен,53,15,75.86898839137645,прошел курс
студент_47,курс_2,Техник по качеству,Отдел качества,жен,34,29,74.95024875621891,прошел курс
студент_48,курс_2,Начальник отдела,Отдел IT,муж,43,21,74.80265339966833,прошел курс
студент_49,курс_2,Мастер,Отдел производства,жен,44,11,75.36484245439469,прошел курс
студент_50,курс_2,Рекрутер,Отдел кадров,муж,36,18,74.46766169154229,прошел курс
студент_51,курс_2,Логист,Отдел закупок,муж,49,24,75.06965174129353,прошел курс
студент_52,курс_2,Логист,Отдел закупок,жен,60,8,,не закончил
студент_53,курс_2,Техник по качеству,Отдел качества,жен,24,7,73.27916666666667,прошел курс
студент_54,курс_2,Программист,Отдел IT,муж,55,19,75.21890547263682,прошел курс
студент_55,курс_2,Специалист по обучению,Отдел кадров,жен,42,5,75.62354892205639,прошел курс
студент_56,курс_2,Торговый представитель,Отдел продаж,муж,34,16,,не закончил
студент_57,курс_2,Инженер по безопасности,Отдел IT,муж,26,29,76.56882255389718,прошел курс
студент_58,курс_2,Аналитик,Отдел закупок,муж,47,3,75.4776119402985,прошел курс
студент_59,курс_2,Менеджер по продажам,Отдел продаж,жен,41,4,75.25704809286898,прошел курс
студент_60,курс_2,Системный администратор,Отдел IT,жен,30,28,75.72636815920399,прошел курс
студент_61,курс_2,Техник поддержки,Отдел IT,жен,43,10,75.26865671641791,прошел курс
студент_62,курс_2,Техник поддержки,Отдел IT,муж,26,26,75.5240464344942,прошел курс
студент_63,курс_2,Рабочий,Отдел производства,муж,60,27,74.41791044776119,прошел курс
студент_64,курс_2,Менеджер по снабжению,Отдел закупок,жен,54,20,75.17412935323384,прошел курс
студент_65,курс_2,Кладовщик,Отдел закупок,муж,55,13,75.15,прошел курс
студент_66,курс_2,Менеджер по снабжению,Отдел закупок,муж,54,20,75.21890547263682,прошел курс
студент_67,курс_2,Мастер,Отдел производства,муж,35,27,75.07131011608624,прошел курс
студент_68,курс_2,Системный администратор,Отдел IT,муж,45,25,74.25207296849088,прошел курс
студент_69,курс_2,Начальник смены,Отдел производства,муж,42,22,74.18242122719735,прошел курс
студент_70,курс_2,Торговый представитель,Отдел продаж,муж,29,2,74.66003316749585,прошел курс
студент_71,курс_2,Специалист по рекламе,Отдел продаж,муж,39,2,74.61691542288557,прошел курс
студент_72,курс_2,Инженер,Отдел производства,муж,54,29,75.33665008291874,прошел курс
студент_73,курс_2,Начальник смены,Отдел производства,жен,49,2,73.45273631840796,прошел курс
студент_74,курс_2,Начальник отдела,Отдел кадров,муж,36,11,75.17081260364843,прошел курс
студент_75,курс_2,Аналитик продаж,Отдел продаж,жен,26,23,75.38142620232172,прошел курс
студент_76,курс_2,Начальник отдела,Отдел качества,муж,57,26,75.15384615384616,прошел курс
студент_77,курс_2,Аналитик,Отдел закупок,жен,34,24,74.7412935323383,прошел курс
студент_78,курс_2,HR-менеджер,Отдел кадров,жен,27,30,74.72139303482587,прошел курс
студент_79,курс_2,Торговый представитель,Отдел продаж,муж,42,7,74.08457711442786,прошел курс
студент_80,курс_2,Консультант,Отдел продаж,муж,51,29,,не закончил
студент_81,курс_2,Логист,Отдел закупок,жен,35,19,,не закончил
студент_82,курс_2,Менеджер по продажам,Отдел продаж,муж,58,26,,не закончил
студент_83,курс_2,Менеджер по снабжению,Отдел закупок,жен,26,28,74.49419568822555,прошел курс
студент_84,курс_2,Рабочий,Отдел производства,муж,48,2,74.92371475953566,прошел курс
студент_85,курс_2,Аналитик продаж,Отдел продаж,муж,55,12,75.73134328358209,прошел курс
студент_86,курс_2,Инспектор,Отдел качества,муж,59,23,,не закончил
студент_87,курс_2,Инженер,Отдел производства,жен,33,1,74.64444444444445,прошел курс
студент_88,курс_2,Начальник отдела,Отдел кадров,жен,29,24,74.69642857142857,прошел курс
студент_89,курс_2,Инженер по безопасности,Отдел IT,муж,51,30,76.18573797678275,прошел курс
студент_90,курс_2,Аналитик,Отдел закупок,жен,52,8,74.05277777777778,прошел курс
студент_91,курс_2,Инспектор,Отдел качества,муж,22,19,74.47927031509121,прошел курс
студент_92,курс_2,Специалист по рекламе,Отдел продаж,жен,44,6,,не закончил
студент_93,курс_2,Начальник отдела,Отдел кадров,жен,21,19,74.5,прошел курс
студент_94,курс_2,Специалист по закупкам,Отдел закупок,жен,45,11,,не закончил
студент_95,курс_2,Торговый представитель,Отдел продаж,муж,40,10,75.85903814262024,прошел курс
студент_96,курс_2,Аналитик,Отдел закупок,муж,22,22,71.98,прошел курс
студент_97,курс_2,Техник по качеству,Отдел качества,муж,37,18,75.93200663349917,прошел курс
студент_98,курс_2,Логист,Отдел закупок,жен,46,15,75.27031509121062,прошел курс
студент_99,курс_2,Менеджер по продажам,Отдел продаж,жен,31,2,74.19568822553897,прошел курс
студент_100,курс_2,Начальник отдела,Отдел IT,жен,25,7,74.9436152570481,прошел курс
студент_101,курс_2,Начальник смены,Отдел производства,жен,23,19,75.02321724709785,прошел курс
студент_102,курс_2,Мастер,Отдел производства,жен,50,21,75.62520729684908,прошел курс
студент_103,курс_2,Кладовщик,Отдел закупок,жен,21,25,76.20398009950249,прошел курс
студент_104,курс_2,Инспектор по кадрам,Отдел кадров,муж,44,2,75.4075,прошел курс
студент_105,курс_2,Начальник отдела,Отдел IT,муж,26,12,75.3167495854063,прошел курс
студент_106,курс_2,Рекрутер,Отдел кадров,жен,45,30,76.55389718076285,прошел курс
студент_107,курс_2,Инженер по безопасности,Отдел IT,жен,39,29,75.22553897180762,прошел курс
студент_108,курс_2,Специалист по закупкам,Отдел закупок,муж,21,18,73.65671641791045,прошел курс
студент_109,курс_2,Системный администратор,Отдел IT,жен,29,28,74.24046434494196,прошел курс
студент_110,курс_2,Специалист по закупкам,Отдел закупок,жен,46,5,74.70315091210614,прошел курс
студент_111,курс_2,Начальник отдела,Отдел качества,муж,52,8,,не закончил
