код_модуль,код_курс,код_задание,тип_задание
модуль_8,курс_2,тест_модуль_8_4,тестирование
модуль_8,курс_2,тест_модуль_8_5,тестирование
модуль_8,курс_2,тест_модуль_8_6,тестирование
модуль_8,курс_2,тест_модуль_8_7,тестирование
модуль_8,курс_2,тест_модуль_8_8,тестирование
модуль_8,курс_2,тест_модуль_8_9,тестирование
модуль_8,курс_2,тест_модуль_8_10,тестирование
модуль_8,курс_2,тест_модуль_8_11,тестирование
модуль_8,курс_2,тест_модуль_8_12,тестирование
модуль_8,курс_2,тест_модуль_8_13,тестирование
модуль_8,курс_2,тест_модуль_8_14,тестирование
модуль_8,курс_2,тест_модуль_8_15,тестирование
модуль_8,курс_2,тест_модуль_8_16,тестирование
модуль_8,курс_2,тест_модуль_8_17,тестирование
модуль_8,курс_2,тест_модуль_8_18,тестирование
модуль_8,курс_2,тест_модуль_8_19,тестирование
модуль_8,курс_2,тест_модуль_8_20,тестирование
модуль_9,курс_2,экзамен_модуль_9,экзамен по модулю
модуль_9,курс_2,тест_модуль_9_1,тестирование
модуль_9,курс_2,тест_модуль_9_2,тестирование
модуль_9,курс_2,тест_модуль_9_3,тестирование
модуль_9,курс_2,тест_модуль_9_4,тестирование
модуль_9,курс_2,тест_модуль_9_5,тестирование
модуль_9,курс_2,тест_модуль_9_6,тестирование
модуль_9,курс_2,тест_модуль_9_7,тестирование
модуль_9,курс_2,тест_модуль_9_8,тестирование
модуль_9,курс_2,тест_модуль_9_9,тестирование
модуль_9,курс_2,тест_модуль_9_10,тестирование
модуль_9,курс_2,тест_модуль_9_11,тестирование
модуль_9,курс_2,тест_модуль_9_12,тестирование
модуль_9,курс_2,тест_модуль_9_13,тестирование
модуль_9,курс_2,тест_модуль_9_14,тестирование
модуль_9,курс_2,тест_модуль_9_15,тестирование
модуль_9,курс_2,тест_модуль_9_16,тестирование
модуль_9,курс_2,тест_модуль_9_17,тестирование
модуль_9,курс_2,тест_модуль_9_18,тестирование
модуль_9,курс_2,тест_модуль_9_19,тестирование
модуль_9,курс_2,тест_модуль_9_20,тестирование
модуль_10,курс_2,экзамен_модуль_10,экзамен по модулю
модуль_10,курс_2,итоговый_экзамен,итоговый экзамен
модуль_10,курс_2,тест_модуль_10_1,тестирование
модуль_10,курс_2,тест_модуль_10_2,тестирование
модуль_10,курс_2,тест_модуль_10_3,тестирование
модуль_10,курс_2,тест_модуль_10_4,тестирование
модуль_10,курс_2,тест_модуль_10_5,тестирование
модуль_10,курс_2,тест_модуль_10_6,тестирование
модуль_10,курс_2,тест_модуль_10_7,тестирование
модуль_10,курс_2,тест_модуль_10_8,тестирование
модуль_10,курс_2,тест_модуль_10_9,тестирование
модуль_10,курс_2,тест_модуль_10_10,тестирование
модуль_10,курс_2,тест_модуль_10_11,тестирование
модуль_10,курс_2,тест_модуль_10_12,тестирование
модуль_10,курс_2,тест_модуль_10_13,тестирование
модуль_10,курс_2,тест_модуль_10_14,тестирование
модуль_10,курс_2,тест_модуль_10_15,тестирование
модуль_10,курс_2,тест_модуль_10_16,тестирование
модуль_10,курс_2,тест_модуль_10_17,тестирование
модуль_10,курс_2,тест_модуль_10_18,тестирование
модуль_10,курс_2,тест_модуль_10_19,тестирование
модуль_10,курс_2,тест_модуль_10_20,тестирование
модуль_1,курс_3,экзамен_модуль_1,экзамен по модулю
модуль_1,курс_3,тест_модуль_1_1,тестирование
модуль_1,курс_3,тест_модуль_1_2,тестирование
модуль_1,курс_3,тест_модуль_1_3,тестирование
модуль_1,курс_3,тест_модуль_1_4,тестирование
модуль_1,курс_3,тест_модуль_1_5,тестирование
модуль_1,курс_3,тест_модуль_1_6,тестирование
модуль_1,курс_3,тест_модуль_1_7,тестирование
модуль_1,курс_3,тест_модуль_1_8,тестирование
модуль_1,курс_3,тест_модуль_1_9,тестирование
модуль_1,курс_3,тест_модуль_1_10,тестирование
модуль_1,курс_3,тест_модуль_1_11,тестирование
модуль_1,курс_3,тест_модуль_1_12,тестирование
модуль_1,курс_3,тест_модуль_1_13,тестирование
модуль_1,курс_3,тест_модуль_1_14,тестирование
модуль_1,курс_3,тест_модуль_1_15,тестирование
модуль_1,курс_3,тест_модуль_1_16,тестирование
модуль_1,курс_3,тест_модуль_1_17,тестирование
модуль_1,курс_3,тест_модуль_1_18,тестирование
модуль_1,курс_3,тест_модуль_1_19,тестирование
модуль_1,курс_3,тест_модуль_1_20,тестирование
модуль_2,курс_3,экзамен_модуль_2,экзамен по модулю
модуль_2,курс_3,тест_модуль_2_1,тестирование
модуль_2,курс_3,тест_модуль_2_2,тестирование
модуль_2,курс_3,тест_модуль_2_3,тестирование
модуль_2,курс_3,тест_модуль_2_4,тестирование
модуль_2,курс_3,тест_модуль_2_5,тестирование
модуль_2,курс_3,тест_модуль_2_6,тестирование
модуль_2,курс_3,тест_модуль_2_7,тестирование
модуль_2,курс_3,тест_модуль_2_8,тестирование
модуль_2,курс_3,тест_модуль_2_9,тестирование
модуль_2,курс_3,тест_модуль_2_10,тестирование
модуль_2,курс_3,тест_модуль_2_11,тестирование
модуль_2,курс_3,тест_модуль_2_12,тестирование
модуль_2,курс_3,тест_модуль_2_13,тестирование
модуль_2,курс_3,тест_модуль_2_14,тестирование
модуль_2,курс_3,тест_модуль_2_15,тестирование
модуль_2,курс_3,тест_модуль_2_16,тестирование
модуль_2,курс_3,тест_модуль_2_17,тестирование
модуль_2,курс_3,тест_модуль_2_18,тестирование
модуль_2,курс_3,тест_модуль_2_19,тестирование
модуль_2,курс_3,тест_модуль_2_20,тестирование
модуль_3,курс_3,экзамен_модуль_3,экзамен по модулю
модуль_3,курс_3,тест_модуль_3_1,тестирование
модуль_3,курс_3,тест_модуль_3_2,тестирование
модуль_3,курс_3,тест_модуль_3_3,тестирование
модуль_3,курс_3,тест_модуль_3_4,тестирование
модуль_3,курс_3,тест_модуль_3_5,тестирование
модуль_3,курс_3,тест_модуль_3_6,тестирование
модуль_3,курс_3,тест_модуль_3_7,тестирование
модуль_3,курс_3,тест_модуль_3_8,тестирование
модуль_3,курс_3,тест_модуль_3_9,тестирование
модуль_3,курс_3,тест_модуль_3_10,тестирование
модуль_3,курс_3,тест_модуль_3_11,тестирование
модуль_3,курс_3,тест_модуль_3_12,тестирование
модуль_3,курс_3,тест_модуль_3_13,тестирование
модуль_3,курс_3,тест_модуль_3_14,тестирование
модуль_3,курс_3,тест_модуль_3_15,тестирование
модуль_3,курс_3,тест_модуль_3_16,тестирование
модуль_3,курс_3,тест_модуль_3_17,тестирование
модуль_3,курс_3,тест_модуль_3_18,тестирование
модуль_3,курс_3,тест_модуль_3_19,тестирование
модуль_3,курс_3,тест_модуль_3_20,тестирование
модуль_4,курс_3,экзамен_модуль_4,экзамен по модулю
модуль_4,курс_3,тест_модуль_4_1,тестирование
модуль_4,курс_3,тест_модуль_4_2,тестирование
модуль_4,курс_3,тест_модуль_4_3,тестирование
модуль_4,курс_3,тест_модуль_4_4,тестирование
модуль_4,курс_3,тест_модуль_4_5,тестирование
модуль_4,курс_3,тест_модуль_4_6,тестирование
модуль_4,курс_3,тест_модуль_4_7,тестирование
модуль_4,курс_3,тест_модуль_4_8,тестирование
модуль_4,курс_3,тест_модуль_4_9,тестирование
модуль_4,курс_3,тест_модуль_4_10,тестирование
модуль_4,курс_3,тест_модуль_4_11,тестирование
модуль_4,курс_3,тест_модуль_4_12,тестирование
модуль_4,курс_3,тест_модуль_4_13,тестирование
модуль_4,курс_3,тест_модуль_4_14,тестирование
модуль_4,курс_3,тест_модуль_4_15,тестирование
модуль_4,курс_3,тест_модуль_4_16,тестирование
модуль_4,курс_3,тест_модуль_4_17,тестирование
модуль_4,курс_3,тест_модуль_4_18,тестирование
модуль_4,курс_3,тест_модуль_4_19,тестирование
модуль_4,курс_3,тест_модуль_4_20,тестирование
модуль_5,курс_3,экзамен_модуль_5,экзамен по модулю
модуль_5,курс_3,тест_модуль_5_1,тестирование
модуль_5,курс_3,тест_модуль_5_2,тестирование
модуль_5,курс_3,тест_модуль_5_3,тестирование
модуль_5,курс_3,тест_модуль_5_4,тестирование
модуль_5,курс_3,тест_модуль_5_5,тестирование
